Model,R2 Score,Mean Accuracy,Std Accuracy
Linear Regression,0.10250273045365765,-17228329806.778297,34456659296.516266
Decision Tree,0.9305197838308003,-7.986547434986763,17.198231280841476
Random Forest,0.9136646147496614,0.713141426111679,0.3255417736469426
K-Nearest Neighbors,0.9171650578643892,-6.135566022135589,13.194533006459062
